Plat,Plong,dis
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
38.0996,-122.2658,0.0
